index,tmc_code,start_time,stop_time,length,closure_time,event_id
349,116N04715,2019-03-07 04:00:00,2019-03-07 04:59:59,0.488138,0 days 00:59:59,50
429,116-04719,2019-03-07 04:00:00,2019-03-07 12:59:59,10.138339,0 days 08:59:59,50
427,116-04716,2019-03-07 04:00:00,2019-03-07 04:59:59,1.889541,0 days 00:59:59,50
426,116-04715,2019-03-07 04:00:00,2019-03-07 04:59:59,1.132466,0 days 00:59:59,50
413,116-04714,2019-03-07 04:00:00,2019-03-07 04:59:59,3.323494,0 days 00:59:59,50
423,116-04718,2019-03-07 04:00:00,2019-03-07 04:59:59,3.470497,0 days 00:59:59,50
422,116-04717,2019-03-07 04:00:00,2019-03-07 04:59:59,2.250428,0 days 00:59:59,50
314,116-08161,2019-03-07 05:00:00,2019-03-07 05:59:59,1.304419,0 days 00:59:59,50
319,116P04718,2019-03-07 05:00:00,2019-03-07 06:59:59,0.448865,0 days 01:59:59,50
325,116P04724,2019-03-07 05:00:00,2019-03-07 05:59:59,0.364863,0 days 00:59:59,50
350,116+04719,2019-03-07 06:00:00,2019-03-07 06:59:59,3.384763,0 days 00:59:59,50
369,116P04732,2019-03-07 06:00:00,2019-03-07 06:59:59,0.237223,0 days 00:59:59,50
368,116P04734,2019-03-07 06:00:00,2019-03-07 06:59:59,0.553764,0 days 00:59:59,50
340,116+04733,2019-03-07 06:00:00,2019-03-07 06:59:59,0.535721,0 days 00:59:59,50
391,116N04723,2019-03-07 07:00:00,2019-03-07 08:59:59,0.355681,0 days 01:59:59,50
438,116-04722,2019-03-07 07:00:00,2019-03-07 08:59:59,2.859356,0 days 01:59:59,50
434,116-04721,2019-03-07 07:00:00,2019-03-07 07:59:59,1.802961,0 days 00:59:59,50
383,116N04722,2019-03-07 07:00:00,2019-03-07 08:59:59,0.482547,0 days 01:59:59,50
407,116N04732,2019-03-07 10:00:00,2019-03-07 10:59:59,1.392358,0 days 00:59:59,50
411,116P10750,2019-03-07 10:00:00,2019-03-07 11:59:59,0.022328,0 days 01:59:59,50
316,116P04719,2019-03-07 10:00:00,2019-03-07 14:59:59,0.474597,0 days 04:59:59,50
331,116P04722,2019-03-07 10:00:00,2019-03-07 10:59:59,0.499037,0 days 00:59:59,50
328,116P04723,2019-03-07 10:00:00,2019-03-07 10:59:59,0.453781,0 days 00:59:59,50
377,116+04723,2019-03-07 10:00:00,2019-03-07 10:59:59,2.800816,0 days 00:59:59,50
375,116+04722,2019-03-07 10:00:00,2019-03-07 10:59:59,1.937911,0 days 00:59:59,50
432,116-04720,2019-03-07 11:00:00,2019-03-07 11:59:59,4.791459,0 days 00:59:59,50
409,116N04730,2019-03-07 11:00:00,2019-03-07 11:59:59,0.355859,0 days 00:59:59,50
419,116N04727,2019-03-07 11:00:00,2019-03-07 11:59:59,0.261073,0 days 00:59:59,50
410,116N04731,2019-03-07 11:00:00,2019-03-07 11:59:59,0.337786,0 days 00:59:59,50
424,116-04718,2019-03-07 11:00:00,2019-03-07 11:59:59,3.470497,0 days 00:59:59,50
396,116N04718,2019-03-07 11:00:00,2019-03-07 11:59:59,0.464014,0 days 00:59:59,50
421,116N04728,2019-03-07 11:00:00,2019-03-07 11:59:59,0.380822,0 days 00:59:59,50
417,116N04729,2019-03-07 11:00:00,2019-03-07 11:59:59,0.370858,0 days 00:59:59,50
339,116P04726,2019-03-07 11:00:00,2019-03-07 11:59:59,0.055842,0 days 00:59:59,50
360,116-04727,2019-03-07 11:00:00,2019-03-07 11:59:59,1.517568,0 days 00:59:59,50
318,116+04726,2019-03-07 11:00:00,2019-03-07 11:59:59,7.867057,0 days 00:59:59,50
336,116+04730,2019-03-07 11:00:00,2019-03-07 11:59:59,3.905128,0 days 00:59:59,50
337,116P04728,2019-03-07 11:00:00,2019-03-07 11:59:59,0.402072,0 days 00:59:59,50
338,116+04731,2019-03-07 11:00:00,2019-03-07 11:59:59,1.893027,0 days 00:59:59,50
345,116P04729,2019-03-07 11:00:00,2019-03-07 11:59:59,0.411808,0 days 00:59:59,50
355,116-04728,2019-03-07 11:00:00,2019-03-07 11:59:59,2.584384,0 days 00:59:59,50
357,116-04729,2019-03-07 11:00:00,2019-03-07 11:59:59,3.950657,0 days 00:59:59,50
359,116-04726,2019-03-07 11:00:00,2019-03-07 11:59:59,1.654875,0 days 00:59:59,50
362,116-04730,2019-03-07 11:00:00,2019-03-07 11:59:59,1.878979,0 days 00:59:59,50
363,116P04731,2019-03-07 11:00:00,2019-03-07 11:59:59,0.405709,0 days 00:59:59,50
364,116P04730,2019-03-07 11:00:00,2019-03-07 11:59:59,0.412762,0 days 00:59:59,50
322,116+04729,2019-03-07 11:00:00,2019-03-07 11:59:59,2.510873,0 days 00:59:59,50
306,116N10750,2019-03-07 11:00:00,2019-03-07 11:59:59,0.015664,0 days 00:59:59,50
302,116+10750,2019-03-07 11:00:00,2019-03-07 11:59:59,1.612578,0 days 00:59:59,50
381,116N04721,2019-03-07 11:00:00,2019-03-07 11:59:59,0.232318,0 days 00:59:59,50
308,116-10750,2019-03-07 11:00:00,2019-03-07 11:59:59,1.095514,0 days 00:59:59,50
389,116N04726,2019-03-07 11:00:00,2019-03-07 11:59:59,0.032289,0 days 00:59:59,50
329,116P04723,2019-03-07 12:00:00,2019-03-07 13:59:59,0.453781,0 days 01:59:59,50
378,116+04723,2019-03-07 13:00:00,2019-03-07 13:59:59,2.800816,0 days 00:59:59,50
320,116P04718,2019-03-07 13:00:00,2019-03-07 13:59:59,0.448865,0 days 00:59:59,50
382,116N04721,2019-03-07 13:00:00,2019-03-07 17:59:59,0.232318,0 days 04:59:59,50
332,116P04722,2019-03-07 13:00:00,2019-03-07 13:59:59,0.499037,0 days 00:59:59,50
430,116-04719,2019-03-07 14:00:00,2019-03-07 18:59:59,10.138339,0 days 04:59:59,50
400,116N04719,2019-03-07 14:00:00,2019-03-07 18:59:59,0.349861,0 days 04:59:59,50
386,116N04720,2019-03-07 14:00:00,2019-03-07 17:59:59,0.515226,0 days 03:59:59,50
433,116-04720,2019-03-07 14:00:00,2019-03-07 17:59:59,4.791459,0 days 03:59:59,50
384,116N04722,2019-03-07 15:00:00,2019-03-07 16:59:59,0.482547,0 days 01:59:59,50
439,116-04722,2019-03-07 15:00:00,2019-03-07 16:59:59,2.859356,0 days 01:59:59,50
317,116P04719,2019-03-07 16:00:00,2019-03-07 17:59:59,0.474597,0 days 01:59:59,50
392,116N04723,2019-03-07 16:00:00,2019-03-07 16:59:59,0.355681,0 days 00:59:59,50
435,116-04721,2019-03-07 16:00:00,2019-03-07 16:59:59,1.802961,0 days 00:59:59,50
